election_round,election_label,election_date,province,municipality,municipality_key,electorate,votes,invalid_votes,abstentions,turnout_rate
5,제5회 전국동시지방선거,2010-06-02,강원도,강릉시,강원도 강릉시,170703,99246,3367,71457,58.14
5,제5회 전국동시지방선거,2010-06-02,강원도,고성군,강원도 고성군,25324,18943,1007,6381,74.8
5,제5회 전국동시지방선거,2010-06-02,강원도,동해시,강원도 동해시,73611,44933,1651,28678,61.04
5,제5회 전국동시지방선거,2010-06-02,강원도,삼척시,강원도 삼척시,58602,40390,1908,18212,68.92
5,제5회 전국동시지방선거,2010-06-02,강원도,속초시,강원도 속초시,64606,37582,1261,27024,58.17
5,제5회 전국동시지방선거,2010-06-02,강원도,양구군,강원도 양구군,16882,11911,572,4971,70.55
5,제5회 전국동시지방선거,2010-06-02,강원도,양양군,강원도 양양군,23195,16946,929,6249,73.06
5,제5회 전국동시지방선거,2010-06-02,강원도,영월군,강원도 영월군,33315,22245,695,11070,66.77
5,제5회 전국동시지방선거,2010-06-02,강원도,원주시,강원도 원주시,234095,133502,3647,100593,57.03
5,제5회 전국동시지방선거,2010-06-02,강원도,인제군,강원도 인제군,24855,17700,879,7155,71.21
5,제5회 전국동시지방선거,2010-06-02,강원도,정선군,강원도 정선군,33811,24529,1028,9282,72.55
5,제5회 전국동시지방선거,2010-06-02,강원도,철원군,강원도 철원군,37358,23811,1278,13547,63.74
5,제5회 전국동시지방선거,2010-06-02,강원도,춘천시,강원도 춘천시,206172,124839,3798,81333,60.55
5,제5회 전국동시지방선거,2010-06-02,강원도,태백시,강원도 태백시,40415,26819,915,13596,66.36
5,제5회 전국동시지방선거,2010-06-02,강원도,평창군,강원도 평창군,35758,24417,756,11341,68.28
5,제5회 전국동시지방선거,2010-06-02,강원도,홍천군,강원도 홍천군,56113,35577,1577,20536,63.4
5,제5회 전국동시지방선거,2010-06-02,강원도,화천군,강원도 화천군,19298,13436,765,5862,69.62
5,제5회 전국동시지방선거,2010-06-02,강원도,횡성군,강원도 횡성군,36396,24898,1137,11498,68.41
5,제5회 전국동시지방선거,2010-06-02,경기도,가평군,경기도 가평군,47257,31054,2642,16203,65.71
5,제5회 전국동시지방선거,2010-06-02,경기도,고양시덕양구,경기도 고양시덕양구,301056,157155,6115,143901,52.2
5,제5회 전국동시지방선거,2010-06-02,경기도,고양시일산동구,경기도 고양시일산동구,197585,101804,2601,95781,51.52
5,제5회 전국동시지방선거,2010-06-02,경기도,고양시일산서구,경기도 고양시일산서구,209252,112929,2820,96323,53.97
5,제5회 전국동시지방선거,2010-06-02,경기도,과천시,경기도 과천시,54323,35675,956,18648,65.67
5,제5회 전국동시지방선거,2010-06-02,경기도,광명시,경기도 광명시,254601,141118,5933,113483,55.43
5,제5회 전국동시지방선거,2010-06-02,경기도,광주시,경기도 광주시,184550,90793,3858,93757,49.2
5,제5회 전국동시지방선거,2010-06-02,경기도,구리시,경기도 구리시,147833,79671,2996,68162,53.89
5,제5회 전국동시지방선거,2010-06-02,경기도,군포시,경기도 군포시,210528,119533,3752,90995,56.78
5,제5회 전국동시지방선거,2010-06-02,경기도,김포시,경기도 김포시,174520,93630,4086,80890,53.65
5,제5회 전국동시지방선거,2010-06-02,경기도,남양주시,경기도 남양주시,404833,197862,8135,206971,48.87
5,제5회 전국동시지방선거,2010-06-02,경기도,동두천시,경기도 동두천시,72810,37833,2382,34977,51.96
5,제5회 전국동시지방선거,2010-06-02,경기도,부천시소사구,경기도 부천시소사구,180161,92975,3131,87186,51.61
5,제5회 전국동시지방선거,2010-06-02,경기도,부천시오정구,경기도 부천시오정구,147313,66944,3131,80369,45.44
5,제5회 전국동시지방선거,2010-06-02,경기도,부천시원미구,경기도 부천시원미구,344875,175298,5951,169577,50.83
5,제5회 전국동시지방선거,2010-06-02,경기도,성남시분당구,경기도 성남시분당구,360189,208482,4082,151707,57.88
5,제5회 전국동시지방선거,2010-06-02,경기도,성남시수정구,경기도 성남시수정구,194233,92330,5426,101903,47.54
5,제5회 전국동시지방선거,2010-06-02,경기도,성남시중원구,경기도 성남시중원구,205070,97065,5673,108005,47.33
5,제5회 전국동시지방선거,2010-06-02,경기도,수원시권선구,경기도 수원시권선구,229747,113478,4155,116269,49.39
5,제5회 전국동시지방선거,2010-06-02,경기도,수원시영통구,경기도 수원시영통구,183747,101911,2152,81836,55.46
5,제5회 전국동시지방선거,2010-06-02,경기도,수원시장안구,경기도 수원시장안구,218041,118498,3986,99543,54.35
5,제5회 전국동시지방선거,2010-06-02,경기도,수원시팔달구,경기도 수원시팔달구,174518,85692,3269,88826,49.1
5,제5회 전국동시지방선거,2010-06-02,경기도,시흥시,경기도 시흥시,292124,133757,5291,158367,45.79
5,제5회 전국동시지방선거,2010-06-02,경기도,안산시단원구,경기도 안산시단원구,247026,113164,4933,133862,45.81
5,제5회 전국동시지방선거,2010-06-02,경기도,안산시상록구,경기도 안산시상록구,275550,128329,5456,147221,46.57
5,제5회 전국동시지방선거,2010-06-02,경기도,안성시,경기도 안성시,132734,68113,4841,64621,51.32
5,제5회 전국동시지방선거,2010-06-02,경기도,안양시동안구,경기도 안양시동안구,265963,153906,4350,112057,57.87
5,제5회 전국동시지방선거,2010-06-02,경기도,안양시만안구,경기도 안양시만안구,208176,111311,4478,96865,53.47
5,제5회 전국동시지방선거,2010-06-02,경기도,양주시,경기도 양주시,142110,72819,3484,69291,51.24
5,제5회 전국동시지방선거,2010-06-02,경기도,양평군,경기도 양평군,75915,45984,2621,29931,60.57
5,제5회 전국동시지방선거,2010-06-02,경기도,여주군,경기도 여주군,85162,44845,3315,40317,52.66
5,제5회 전국동시지방선거,2010-06-02,경기도,연천군,경기도 연천군,36674,22658,1967,14016,61.78
5,제5회 전국동시지방선거,2010-06-02,경기도,오산시,경기도 오산시,122466,60033,2389,62433,49.02
5,제5회 전국동시지방선거,2010-06-02,경기도,용인시기흥구,경기도 용인시기흥구,253306,135344,3013,117962,53.43
5,제5회 전국동시지방선거,2010-06-02,경기도,용인시수지구,경기도 용인시수지구,215476,121275,1968,94201,56.28
5,제5회 전국동시지방선거,2010-06-02,경기도,용인시처인구,경기도 용인시처인구,155746,76544,4393,79202,49.15
5,제5회 전국동시지방선거,2010-06-02,경기도,의왕시,경기도 의왕시,112243,64134,2222,48109,57.14
5,제5회 전국동시지방선거,2010-06-02,경기도,의정부시,경기도 의정부시,328299,161722,7271,166577,49.26
5,제5회 전국동시지방선거,2010-06-02,경기도,이천시,경기도 이천시,150045,76343,3675,73702,50.88
5,제5회 전국동시지방선거,2010-06-02,경기도,파주시,경기도 파주시,252147,128283,7104,123864,50.88
5,제5회 전국동시지방선거,2010-06-02,경기도,평택시,경기도 평택시,309722,157432,9237,152290,50.83
5,제5회 전국동시지방선거,2010-06-02,경기도,포천시,경기도 포천시,123373,62925,4633,60448,51.0
5,제5회 전국동시지방선거,2010-06-02,경기도,하남시,경기도 하남시,118086,62718,2428,55368,53.11
5,제5회 전국동시지방선거,2010-06-02,경기도,화성시,경기도 화성시,362455,181402,7086,181053,50.05
5,제5회 전국동시지방선거,2010-06-02,경상남도,거제시,경상남도 거제시,166795,93847,1966,72948,56.26
5,제5회 전국동시지방선거,2010-06-02,경상남도,거창군,경상남도 거창군,50832,37039,1567,13793,72.87
5,제5회 전국동시지방선거,2010-06-02,경상남도,고성군,경상남도 고성군,47716,32473,1075,15243,68.05
5,제5회 전국동시지방선거,2010-06-02,경상남도,김해시,경상남도 김해시,359474,195079,2700,164395,54.27
5,제5회 전국동시지방선거,2010-06-02,경상남도,남해군,경상남도 남해군,42320,33047,917,9273,78.09
5,제5회 전국동시지방선거,2010-06-02,경상남도,마산시,경상남도 마산시,322188,191127,2288,131061,59.32
5,제5회 전국동시지방선거,2010-06-02,경상남도,밀양시,경상남도 밀양시,90189,58178,1713,32011,64.51
5,제5회 전국동시지방선거,2010-06-02,경상남도,사천시,경상남도 사천시,89018,61019,1706,27999,68.55
5,제5회 전국동시지방선거,2010-06-02,경상남도,산청군,경상남도 산청군,30305,22967,734,7338,75.79
5,제5회 전국동시지방선거,2010-06-02,경상남도,양산시,경상남도 양산시,190214,102673,1927,87541,53.98
5,제5회 전국동시지방선거,2010-06-02,경상남도,의령군,경상남도 의령군,26084,20448,1013,5636,78.39
5,제5회 전국동시지방선거,2010-06-02,경상남도,진주시,경상남도 진주시,254687,164337,2495,90350,64.53
5,제5회 전국동시지방선거,2010-06-02,경상남도,진해시,경상남도 진해시,130168,77361,1260,52807,59.43
5,제5회 전국동시지방선거,2010-06-02,경상남도,창녕군,경상남도 창녕군,51556,35573,1292,15983,69.0
5,제5회 전국동시지방선거,2010-06-02,경상남도,창원시,경상남도 창원시,371540,224868,2161,146672,60.52
5,제5회 전국동시지방선거,2010-06-02,경상남도,통영시,경상남도 통영시,108127,67402,1478,40725,62.34
5,제5회 전국동시지방선거,2010-06-02,경상남도,하동군,경상남도 하동군,43182,33213,1023,9969,76.91
5,제5회 전국동시지방선거,2010-06-02,경상남도,함안군,경상남도 함안군,53737,38163,1051,15574,71.02
5,제5회 전국동시지방선거,2010-06-02,경상남도,함양군,경상남도 함양군,33908,26715,1039,7193,78.79
5,제5회 전국동시지방선거,2010-06-02,경상남도,합천군,경상남도 합천군,44353,34161,1963,10192,77.02
5,제5회 전국동시지방선거,2010-06-02,경상북도,경산시,경상북도 경산시,185240,93632,2951,91608,50.55
5,제5회 전국동시지방선거,2010-06-02,경상북도,경주시,경상북도 경주시,211517,124949,4340,86568,59.07
5,제5회 전국동시지방선거,2010-06-02,경상북도,고령군,경상북도 고령군,29169,20154,970,9015,69.09
5,제5회 전국동시지방선거,2010-06-02,경상북도,구미시,경상북도 구미시,291865,138048,3351,153817,47.3
5,제5회 전국동시지방선거,2010-06-02,경상북도,군위군,경상북도 군위군,22359,17132,1185,5227,76.62
5,제5회 전국동시지방선거,2010-06-02,경상북도,김천시,경상북도 김천시,109593,67692,2555,41901,61.77
5,제5회 전국동시지방선거,2010-06-02,경상북도,문경시,경상북도 문경시,62346,42310,2282,20036,67.86
5,제5회 전국동시지방선거,2010-06-02,경상북도,봉화군,경상북도 봉화군,29721,22772,1239,6949,76.62
5,제5회 전국동시지방선거,2010-06-02,경상북도,상주시,경상북도 상주시,87803,60543,3291,27260,68.95
5,제5회 전국동시지방선거,2010-06-02,경상북도,성주군,경상북도 성주군,38683,26126,1224,12557,67.54
5,제5회 전국동시지방선거,2010-06-02,경상북도,안동시,경상북도 안동시,134118,84290,3332,49828,62.85
5,제5회 전국동시지방선거,2010-06-02,경상북도,영덕군,경상북도 영덕군,35548,25906,1263,9642,72.88
5,제5회 전국동시지방선거,2010-06-02,경상북도,영양군,경상북도 영양군,16066,12552,772,3514,78.13
5,제5회 전국동시지방선거,2010-06-02,경상북도,영주시,경상북도 영주시,90908,60339,2841,30569,66.37
5,제5회 전국동시지방선거,2010-06-02,경상북도,영천시,경상북도 영천시,85134,52224,2474,32910,61.34
5,제5회 전국동시지방선거,2010-06-02,경상북도,예천군,경상북도 예천군,40803,31459,1727,9344,77.1
5,제5회 전국동시지방선거,2010-06-02,경상북도,울릉군,경상북도 울릉군,9072,7404,317,1668,81.61
5,제5회 전국동시지방선거,2010-06-02,경상북도,울진군,경상북도 울진군,42741,31972,1918,10769,74.8
5,제5회 전국동시지방선거,2010-06-02,경상북도,의성군,경상북도 의성군,51855,37008,1859,14847,71.37
5,제5회 전국동시지방선거,2010-06-02,경상북도,청도군,경상북도 청도군,38292,26352,1210,11940,68.82
5,제5회 전국동시지방선거,2010-06-02,경상북도,청송군,경상북도 청송군,23204,17227,615,5977,74.24
5,제5회 전국동시지방선거,2010-06-02,경상북도,칠곡군,경상북도 칠곡군,89957,47947,1804,42010,53.3
